folder,image,was_found,time,dataset,type
C:\Users\Vadym\PycharmProjects\Engineer_project\images\tests\blurred\converted_images\\,1\8.jpg,True,50.785,first_set,blurred
C:\Users\Vadym\PycharmProjects\Engineer_project\images\tests\noised\converted_images\\,6\5.jpg,True,88.484,first_set,noised
C:\Users\Vadym\PycharmProjects\Engineer_project\images\tests\blurred\converted_images\\,6\8.jpg,True,83.674,first_set,blurred
C:\Users\Vadym\PycharmProjects\Engineer_project\images\tests\noised\converted_images\\,40\5.jpg,False,82.475,first_set,noised
C:\Users\Vadym\PycharmProjects\Engineer_project\images\tests\blurred\converted_images\\,6\7.jpg,True,87.213,first_set,blurred
C:\Users\Vadym\PycharmProjects\Engineer_project\images\tests\noised\converted_images\\,22\5.jpg,False,82.551,first_set,noised
C:\Users\Vadym\PycharmProjects\Engineer_project\images\tests\blurred\converted_images\\,39\9.jpg,False,80.15,first_set,blurred
C:\Users\Vadym\PycharmProjects\Engineer_project\images\tests\noised\converted_images\\,12\5.jpg,True,82.536,first_set,noised
C:\Users\Vadym\PycharmProjects\Engineer_project\images\tests\blurred\converted_images\\,23\6.jpg,True,75.193,first_set,blurred
C:\Users\Vadym\PycharmProjects\Engineer_project\images\tests\noised\converted_images\\,6\1.jpg,False,71.597,first_set,noised
C:\Users\Vadym\PycharmProjects\Engineer_project\images\tests\blurred\converted_images\\,6\7.jpg,True,62.378,first_set,blurred
C:\Users\Vadym\PycharmProjects\Engineer_project\images\tests\noised\converted_images\\,40\2.jpg,False,59.842,first_set,noised
C:\Users\Vadym\PycharmProjects\Engineer_project\images\tests\blurred\converted_images\\,1\9.jpg,True,68.722,first_set,blurred
C:\Users\Vadym\PycharmProjects\Engineer_project\images\tests\noised\converted_images\\,26\7.jpg,True,57.528,first_set,noised
C:\Users\Vadym\PycharmProjects\Engineer_project\images\tests\blurred\converted_images\\,1\9.jpg,False,50.404,first_set,blurred
C:\Users\Vadym\PycharmProjects\Engineer_project\images\tests\noised\converted_images\\,40\8.jpg,False,50.265,first_set,noised
C:\Users\Vadym\PycharmProjects\Engineer_project\images\tests\blurred\converted_images\\,6\6.jpg,True,47.871,first_set,blurred
C:\Users\Vadym\PycharmProjects\Engineer_project\images\tests\noised\converted_images\\,40\3.jpg,True,49.948,first_set,noised
C:\Users\Vadym\PycharmProjects\Engineer_project\images\tests\blurred\converted_images\\,1\10.jpg,False,48.985,first_set,blurred
C:\Users\Vadym\PycharmProjects\Engineer_project\images\tests\noised\converted_images\\,6\1.jpg,True,59.186,first_set,noised
C:\Users\Vadym\PycharmProjects\Engineer_project\images\tests\blurred\converted_images\\,17\2.jpg,True,54.848,first_set,blurred
C:\Users\Vadym\PycharmProjects\Engineer_project\images\tests\noised\converted_images\\,12\7.jpg,True,52.963,first_set,noised
C:\Users\Vadym\PycharmProjects\Engineer_project\images\tests\noised\second_set_dataset\Final Training Images\,face3\10face3.jpg,True,13.835,second_set,noised
C:\Users\Vadym\PycharmProjects\Engineer_project\images\tests\blurred\second_set_dataset\Final Training Images\,face8\3face8.jpg,False,11.557,second_set,blurred
C:\Users\Vadym\PycharmProjects\Engineer_project\images\tests\noised\second_set_dataset\Final Training Images\,face3\10face3.jpg,True,15.788,second_set,noised
